kaporta,lastik,motor,koltuk,ruzgarlik,groundType,mass,speed,projectedSpeed,duration
0,0,0,0,0,Toprak,1060,0.396,124.4348,8.622268
0,0,0,0,0,Micir,1060,0.5280001,134.9565,8.074319
0,0,0,0,0,Asfalt,1060,0.66,145.4783,7.526371
0,0,0,0,0,Buz,1060,0.7920001,156,6.978422
0,0,0,0,1,Toprak,1085,0.336,119.6522,8.871336
0,0,0,0,1,Micir,1085,0.448,128.5797,8.406409
0,0,0,0,1,Asfalt,1085,0.56,137.5072,7.941483
0,0,0,0,1,Buz,1085,0.6720001,146.4348,7.476557
0,0,0,0,2,Toprak,1110,0.216,110.087,9.369471
0,0,0,0,2,Micir,1110,0.288,115.8261,9.07059
0,0,0,0,2,Asfalt,1110,0.36,121.5652,8.771708
0,0,0,0,2,Buz,1110,0.432,127.3043,8.472828
0,0,0,1,0,Toprak,1110,0.306,117.2609,8.99587
0,0,0,1,0,Micir,1110,0.408,125.3913,8.572454
0,0,0,1,0,Asfalt,1110,0.51,133.5217,8.14904
0,0,0,1,0,Buz,1110,0.612,141.6522,7.725625
0,0,0,1,1,Toprak,1135,0.246,112.4783,9.244937
0,0,0,1,1,Micir,1135,0.328,119.0145,8.904545
0,0,0,1,1,Asfalt,1135,0.41,125.5507,8.564153
0,0,0,1,1,Buz,1135,0.492,132.087,8.22376
0,0,0,1,2,Toprak,1160,0.126,102.913,9.743073
0,0,0,1,2,Micir,1160,0.168,106.2609,9.568725
0,0,0,1,2,Asfalt,1160,0.21,109.6087,9.394378
0,0,0,1,2,Buz,1160,0.252,112.9565,9.220031
0,0,0,2,0,Toprak,1160,0.216,110.087,9.369471
0,0,0,2,0,Micir,1160,0.288,115.8261,9.07059
0,0,0,2,0,Asfalt,1160,0.36,121.5652,8.771708
0,0,0,2,0,Buz,1160,0.432,127.3043,8.472828
0,0,0,2,1,Toprak,1185,0.156,105.3043,9.618539
0,0,0,2,1,Micir,1185,0.208,109.4493,9.40268
0,0,0,2,1,Asfalt,1185,0.26,113.5942,9.186822
0,0,0,2,1,Buz,1185,0.312,117.7391,8.970963
0,0,0,2,2,Toprak,1210,0.036,95.73913,10.11667
0,0,0,2,2,Micir,1210,0.048,96.69565,10.06686
0,0,0,2,2,Asfalt,1210,0.05999999,97.65218,10.01705
0,0,0,2,2,Buz,1210,0.072,98.6087,9.967234
0,0,1,0,0,Toprak,1260,0.324,118.6956,8.921149
0,0,1,0,0,Micir,1260,0.432,127.3043,8.472828
0,0,1,0,0,Asfalt,1260,0.54,135.913,8.024506
0,0,1,0,0,Buz,1260,0.6480001,144.5217,7.576184
0,0,1,0,1,Toprak,1285,0.264,113.913,9.170217
0,0,1,0,1,Micir,1285,0.352,120.9275,8.804917
0,0,1,0,1,Asfalt,1285,0.44,127.942,8.439619
0,0,1,0,1,Buz,1285,0.5280001,134.9565,8.074319
0,0,1,0,2,Toprak,1310,0.144,104.3478,9.668352
0,0,1,0,2,Micir,1310,0.192,108.1739,9.469098
0,0,1,0,2,Asfalt,1310,0.24,112,9.269844
0,0,1,0,2,Buz,1310,0.288,115.8261,9.07059
0,0,1,1,0,Toprak,1310,0.234,111.5217,9.294751
0,0,1,1,0,Micir,1310,0.312,117.7391,8.970963
0,0,1,1,0,Asfalt,1310,0.39,123.9565,8.647175
0,0,1,1,0,Buz,1310,0.468,130.1739,8.323387
0,0,1,1,1,Toprak,1335,0.174,106.7391,9.543818
0,0,1,1,1,Micir,1335,0.232,111.3623,9.303053
0,0,1,1,1,Asfalt,1335,0.29,115.9855,9.062287
0,0,1,1,1,Buz,1335,0.348,120.6087,8.821522
0,0,1,1,2,Toprak,1360,0.05400001,97.17391,10.04195
0,0,1,1,2,Micir,1360,0.07200001,98.6087,9.967234
0,0,1,1,2,Asfalt,1360,0.09000001,100.0435,9.892513
0,0,1,1,2,Buz,1360,0.108,101.4783,9.817793
0,0,1,2,0,Toprak,1360,0.144,104.3478,9.668352
0,0,1,2,0,Micir,1360,0.192,108.1739,9.469098
0,0,1,2,0,Asfalt,1360,0.24,112,9.269844
0,0,1,2,0,Buz,1360,0.288,115.8261,9.07059
0,0,1,2,1,Toprak,1385,0.08400001,99.56522,9.917419
0,0,1,2,1,Micir,1385,0.112,101.7971,9.801188
0,0,1,2,1,Asfalt,1385,0.14,104.029,9.684957
0,0,1,2,1,Buz,1385,0.168,106.2609,9.568725
0,0,1,2,2,Toprak,1410,-0.036,90,10.41556
0,0,1,2,2,Micir,1410,-0.048,90,10.41556
0,0,1,2,2,Asfalt,1410,-0.05999999,90,10.41556
0,0,1,2,2,Buz,1410,-0.072,90,10.41556
0,0,2,0,0,Toprak,1160,0.36,121.5652,8.771708
0,0,2,0,0,Micir,1160,0.48,131.1304,8.273574
0,0,2,0,0,Asfalt,1160,0.6,140.6956,7.775438
0,0,2,0,0,Buz,1160,0.72,150.2609,7.277303
0,0,2,0,1,Toprak,1185,0.3,116.7826,9.020777
0,0,2,0,1,Micir,1185,0.4,124.7536,8.605663
0,0,2,0,1,Asfalt,1185,0.5,132.7246,8.190551
0,0,2,0,1,Buz,1185,0.6,140.6956,7.775438
0,0,2,0,2,Toprak,1210,0.18,107.2174,9.518911
0,0,2,0,2,Micir,1210,0.24,112,9.269844
0,0,2,0,2,Asfalt,1210,0.3,116.7826,9.020777
0,0,2,0,2,Buz,1210,0.36,121.5652,8.771708
0,0,2,1,0,Toprak,1210,0.27,114.3913,9.14531
0,0,2,1,0,Micir,1210,0.36,121.5652,8.771708
0,0,2,1,0,Asfalt,1210,0.45,128.7391,8.398108
0,0,2,1,0,Buz,1210,0.54,135.913,8.024506
0,0,2,1,1,Toprak,1235,0.21,109.6087,9.394378
0,0,2,1,1,Micir,1235,0.28,115.1884,9.103799
0,0,2,1,1,Asfalt,1235,0.35,120.7681,8.81322
0,0,2,1,1,Buz,1235,0.42,126.3478,8.522641
0,0,2,1,2,Toprak,1260,0.09,100.0435,9.892513
0,0,2,1,2,Micir,1260,0.12,102.4348,9.76798
0,0,2,1,2,Asfalt,1260,0.15,104.8261,9.643445
0,0,2,1,2,Buz,1260,0.18,107.2174,9.518911
0,0,2,2,0,Toprak,1260,0.18,107.2174,9.518911
0,0,2,2,0,Micir,1260,0.24,112,9.269844
0,0,2,2,0,Asfalt,1260,0.3,116.7826,9.020777
0,0,2,2,0,Buz,1260,0.36,121.5652,8.771708
0,0,2,2,1,Toprak,1285,0.12,102.4348,9.76798
0,0,2,2,1,Micir,1285,0.16,105.6232,9.601934
0,0,2,2,1,Asfalt,1285,0.2,108.8116,9.435889
0,0,2,2,1,Buz,1285,0.24,112,9.269844
0,0,2,2,2,Toprak,1310,-4.470349E-09,92.86957,10.26611
0,0,2,2,2,Micir,1310,-5.960465E-09,92.86957,10.26611
0,0,2,2,2,Asfalt,1310,-7.450581E-09,92.86957,10.26611
0,0,2,2,2,Buz,1310,-8.940697E-09,92.86957,10.26611
0,1,0,0,0,Toprak,1060,0.426,126.8261,8.497735
0,1,0,0,0,Micir,1060,0.568,138.1449,7.908275
0,1,0,0,0,Asfalt,1060,0.71,149.4638,7.318814
